Column1	title	year	rating	metascore	gross	hyperlink	country	Column2	budget	awards	award wins	award nominations	duration	rating-metascore	revenue	genre1	genre2	genre3
560	The Warriors	1979	77	65	22490000	https://www.imdb.com/title/tt0080120/?ref_=adv_li_i	USA		4000000	0	0	0	1h 32min	12.00	18490000.00	Action	 Crime	 Thriller
266	Being There	1979	80	84	30180000	https://www.imdb.com/title/tt0078841/?ref_=adv_li_i	USA		Unknown	Won 1 Oscar.	1	0	2h 10min	4.00		Comedy	 Drama	
44	Alien	1979	85	83	78900000	https://www.imdb.com/title/tt0078748/?ref_=adv_li_i	UK		11000000	Won 1 Oscar.	1	0	1h 56min	2.00	67900000.00	Horror	 Sci-Fi	
43	Apocalypse Now	1979	85	94	83470000	https://www.imdb.com/title/tt0078788/?ref_=adv_li_i	USA		31500000	Won 2 Oscars.	2	0	2h 27min	9.00	51970000.00	Drama	 War	
191	Life of Brian	1979	81	75	20050000	https://www.imdb.com/title/tt0079470/?ref_=adv_li_i	UK		4000000	0	0	0	1h 34min	6.00	16050000.00	Comedy		
459	Kramer vs. Kramer	1979	78	77	106260000	https://www.imdb.com/title/tt0079417/?ref_=adv_li_i	USA		8000000	Won 5 Oscars.	5	0	1h 45min	1.00	98260000.00	Drama		
13	Star Wars: Episode V - The Empire Strikes Back	1980	88	82	290480000	https://www.imdb.com/title/tt0080684/?ref_=adv_li_i	USA		18000000	Won 1 Oscar.	1	0	2h 4min	6.00	272480000.00	Action	 Adventure	 Fantasy
119	Raging Bull	1980	82	89	23380000	https://www.imdb.com/title/tt0081398/?ref_=adv_li_i	USA		18000000	Won 2 Oscars.	2	0	2h 9min	7.00	5380000.00	Biography	 Drama	 Sport
63	The Shining	1980	84	63	44020000	https://www.imdb.com/title/tt0081505/?ref_=adv_li_i	UK		19000000	4 wins & 7 nominations.	4	7	2h 26min	21.00	25020000.00	Drama	 Horror	
458	Airplane!	1980	78	78	83400000	https://www.imdb.com/title/tt0080339/?ref_=adv_li_i	USA		3500000	Nominated for 1 Golden Globe.	0	1	1h 28min	0.00	79900000.00	Comedy		
457	Ordinary People	1980	78	87	54800000	https://www.imdb.com/title/tt0081283/?ref_=adv_li_i	USA		6000000	Won 4 Oscars.	4	0	2h 4min	9.00	48800000.00	Drama		
661	The Road Warrior	1981	76	77	12470000	https://www.imdb.com/title/tt0082694/?ref_=adv_li_i	Australia		2000000	8 wins & 10 nominations.	8	10	1h 34min	1.00	10470000.00	Action	 Adventure	 Sci-Fi
62	Das Boot	1981	84	86	11490000	https://www.imdb.com/title/tt0082096/?ref_=adv_li_i	West Germany		14000000	Nominated for 6 Oscars.	0	6	2h 29min	2.00	-2510000.00	Adventure	 Drama	 Thriller
42	Raiders of the Lost Ark	1981	85	85	248160000	https://www.imdb.com/title/tt0082971/?ref_=adv_li_i	USA		18000000	Won 4 Oscars.	4	0	1h 55min	0.00	230160000.00	Action	 Adventure	
559	On Golden Pond	1981	77	68	119290000	https://www.imdb.com/title/tt0082846/?ref_=adv_li_i	UK		Unknown	Won 3 Oscars.	3	0	1h 49min	9.00		Drama		
660	The Secret of NIMH	1982	76	76	10140000	https://www.imdb.com/title/tt0084649/?ref_=adv_li_i	USA		7000000	1 win & 2 nominations.	1	2	1h 22min	0.00	3140000.00	Animation	 Adventure	 Drama
455	The King of Comedy	1982	78	73	2500000	https://www.imdb.com/title/tt0085794/?ref_=adv_li_i	USA		20000000	Won 1 BAFTA Film Award.	1	0	1h 49min	5.00	-17500000.00	Comedy	 Crime	 Drama
189	Gandhi	1982	81	79	52770000	https://www.imdb.com/title/tt0083987/?ref_=adv_li_i	UK		22000000	Won 8 Oscars.	8	0	3h 11min	2.00	30770000.00	Biography	 Drama	 History
557	Star Trek II: The Wrath of Khan	1982	77	67	78910000	https://www.imdb.com/title/tt0084726/?ref_=adv_li_i	USA		11200000	3 wins & 9 nominations.	3	9	1h 53min	10.00	67710000.00	Action	 Adventure	 Sci-Fi
558	First Blood	1982	77	61	47210000	https://www.imdb.com/title/tt0083944/?ref_=adv_li_i	USA		15000000	1 win & 2 nominations.	1	2	1h 33min	16.00	32210000.00	Action	 Adventure	
659	Sophie's Choice	1982	76	68	30040000	https://www.imdb.com/title/tt0084707/?ref_=adv_li_i	UK		12000000	Won 1 Oscar.	1	0	2h 30min	8.00	18040000.00	Drama	 Romance	
350	E.T. The Extra-Terrestrial	1982	79	91	435110000	https://www.imdb.com/title/tt0083866/?ref_=adv_li_i	USA		10500000	Won 4 Oscars.	4	0	1h 55min	12.00	424610000.00	Family	 Sci-Fi	
118	Blade Runner	1982	82	89	27000000	https://www.imdb.com/title/tt0083658/?ref_=adv_li_i	USA		28000000	Nominated for 2 Oscars.	0	2	1h 57min	7.00	-1000000.00	Sci-Fi	 Thriller	
190	Fanny and Alexander	1982	81	100	4970000	https://www.imdb.com/title/tt0083922/?ref_=adv_li_i	Sweden		6000000	Won 4 Oscars.	4	0	3h 8min	19.00	-1030000.00	Drama		
456	The Verdict	1982	78	77	54000000	https://www.imdb.com/title/tt0084855/?ref_=adv_li_i	USA		16000000	Nominated for 5 Oscars.	0	5	2h 9min	1.00	38000000.00	Drama		
349	The Right Stuff	1983	79	91	21500000	https://www.imdb.com/title/tt0086197/?ref_=adv_li_i	USA		27000000	Won 4 Oscars.	4	0	3h 13min	12.00	-5500000.00	Adventure	 Biography	 Drama
